"building","day","floor","level","mac","name","room","time"
"block-9","Tueday","first","-50","58:b6:33:66:51:48","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-39","58:b6:33:26:51:48","IIITV1","9111","13:59:51"
"block-9","Tueday","first","-67","6c:aa:b3:48:ad:b8","IIITV2","9111","13:59:51"
"block-9","Tueday","first","-67","6c:aa:b3:08:ad:b8","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-79","24:c9:a1:49:a7:28","IIITV2","9111","13:59:51"
"block-9","Tueday","first","-69","24:c9:a1:09:9f:08","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-69","24:c9:a1:49:9f:08","IIITV2","9111","13:59:51"
"block-9","Tueday","first","-79","24:c9:a1:09:a7:28","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-84","58:b6:33:66:56:c8","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-67","f0:3e:90:4c:29:d8","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-67","f0:3e:90:0c:29:d8","IIITV1","9111","13:59:51"
"block-9","Tueday","first","-75","24:c9:a1:47:2f:38","IIITV2","9111","13:59:51"
"block-9","Tueday","first","-77","24:c9:a1:07:2f:38","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-62","2c:c5:d3:23:c2:38","IIITV1","9111","13:59:51"
"block-9","Tueday","first","-63","2c:c5:d3:63:c2:38","IIITV-Staff","9111","13:59:51"
"block-9","Tueday","first","-68","24:c9:a1:49:a1:58","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-69","24:c9:a1:09:a1:58","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-67","f0:3e:90:8c:29:d8","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-59","24:c9:a1:49:9a:c8","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-59","24:c9:a1:09:9a:c8","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-70","f0:3e:90:8c:24:78","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-71","f0:3e:90:4c:24:78","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-71","f0:3e:90:0c:24:78","IIITV1","9113","14:00:01"
"block-9","Tueday","first","-38","58:b6:33:66:51:48","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-38","58:b6:33:26:51:48","IIITV1","9113","14:00:01"
"block-9","Tueday","first","-67","6c:aa:b3:48:ad:b8","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-67","6c:aa:b3:08:ad:b8","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-79","24:c9:a1:49:a7:28","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-69","24:c9:a1:09:9f:08","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-69","24:c9:a1:49:9f:08","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-79","24:c9:a1:09:a7:28","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-83","58:b6:33:66:56:c8","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-67","f0:3e:90:4c:29:d8","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-67","f0:3e:90:0c:29:d8","IIITV1","9113","14:00:01"
"block-9","Tueday","first","-75","24:c9:a1:47:2f:38","IIITV2","9113","14:00:01"
"block-9","Tueday","first","-77","24:c9:a1:07:2f:38","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-59","2c:c5:d3:23:c2:38","IIITV1","9113","14:00:01"
"block-9","Tueday","first","-59","2c:c5:d3:63:c2:38","IIITV-Staff","9113","14:00:01"
"block-9","Tueday","first","-82","58:b6:33:26:56:c8","IIITV1","9113","14:00:01"
"block-9","Tueday","first","-68","24:c9:a1:49:a1:58","IIITV2","9114","14:00:09"
"block-9","Tueday","first","-69","24:c9:a1:09:a1:58","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-67","f0:3e:90:8c:29:d8","IIITV2","9114","14:00:09"
"block-9","Tueday","first","-59","24:c9:a1:49:9a:c8","IIITV2","9114","14:00:09"
"block-9","Tueday","first","-59","24:c9:a1:09:9a:c8","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-80","f0:3e:90:8c:24:78","IIITV2","9114","14:00:09"
"block-9","Tueday","first","-80","f0:3e:90:4c:24:78","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-79","f0:3e:90:0c:24:78","IIITV1","9114","14:00:09"
"block-9","Tueday","first","-38","58:b6:33:66:51:48","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-37","58:b6:33:26:51:48","IIITV1","9114","14:00:09"
"block-9","Tueday","first","-67","6c:aa:b3:48:ad:b8","IIITV2","9114","14:00:09"
"block-9","Tueday","first","-67","6c:aa:b3:08:ad:b8","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-79","24:c9:a1:49:a7:28","IIITV2","9114","14:00:09"
"block-9","Tueday","first","-69","24:c9:a1:09:9f:08","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-69","24:c9:a1:49:9f:08","IIITV2","9114","14:00:09"
"block-9","Tueday","first","-79","24:c9:a1:09:a7:28","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-83","58:b6:33:66:56:c8","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-67","f0:3e:90:4c:29:d8","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-67","f0:3e:90:0c:29:d8","IIITV1","9114","14:00:09"
"block-9","Tueday","first","-75","24:c9:a1:47:2f:38","IIITV2","9114","14:00:01"
"block-9","Tueday","first","-77","24:c9:a1:07:2f:38","IIITV-Staff","9114","14:00:01"
"block-9","Tueday","first","-59","2c:c5:d3:23:c2:38","IIITV1","9114","14:00:09"
"block-9","Tueday","first","-59","2c:c5:d3:63:c2:38","IIITV-Staff","9114","14:00:09"
"block-9","Tueday","first","-82","58:b6:33:26:56:c8","IIITV1","9114","14:00:09"
"block-9","Tueday","first","-68","24:c9:a1:49:a1:58","IIITV2","9116","14:00:09"
"block-9","Tueday","first","-69","24:c9:a1:09:a1:58","IIITV-Staff","9116","14:00:09"
"block-9","Tueday","first","-67","f0:3e:90:8c:29:d8","IIITV2","9116","14:00:09"
"block-9","Tueday","first","-59","24:c9:a1:49:9a:c8","IIITV2","9116","14:00:09"
"block-9","Tueday","first","-59","24:c9:a1:09:9a:c8","IIITV-Staff","9116","14:00:09"
"block-9","Tueday","first","-76","f0:3e:90:8c:24:78","IIITV2","9116","14:00:19"
"block-9","Tueday","first","-75","f0:3e:90:4c:24:78","IIITV-Staff","9116","14:00:19"
"block-9","Tueday","first","-75","f0:3e:90:0c:24:78","IIITV1","9116","14:00:19"
"block-9","Tueday","first","-37","58:b6:33:66:51:48","IIITV-Staff","9116","14:00:19"
"block-9","Tueday","first","-34","58:b6:33:26:51:48","IIITV1","9116","14:00:19"
"block-9","Tueday","first","-67","6c:aa:b3:48:ad:b8","IIITV2","9116","14:00:09"
"block-9","Tueday","first","-67","6c:aa:b3:08:ad:b8","IIITV-Staff","9116","14:00:09"
"block-9","Tueday","first","-69","24:c9:a1:49:a7:28","IIITV2","9116","14:00:19"
"block-9","Tueday","first","-53","24:c9:a1:09:9f:08","IIITV-Staff","9116","14:00:19"
"block-9","Tueday","first","-52","24:c9:a1:49:9f:08","IIITV2","9116","14:00:19"
"block-9","Tueday","first","-69","24:c9:a1:09:a7:28","IIITV-Staff","9116","14:00:19"
"block-9","Tueday","first","-83","58:b6:33:66:56:c8","IIITV-Staff","9116","14:00:19"
"block-9","Tueday","first","-67","f0:3e:90:4c:29:d8","IIITV-Staff","9116","14:00:09"
"block-9","Tueday","first","-67","f0:3e:90:0c:29:d8","IIITV1","9116","14:00:09"
"block-9","Tueday","first","-52","2c:c5:d3:23:c2:38","IIITV1","9116","14:00:19"
"block-9","Tueday","first","-52","2c:c5:d3:63:c2:38","IIITV-Staff","9116","14:00:19"
"block-9","Tueday","first","-82","58:b6:33:26:56:c8","IIITV1","9116","14:00:19"
"bolck-9","Wednesday","first","-38","f0:3e:90:0c:24:78","IIITV1","9101","11:07:30"
"bolck-9","Wednesday","first","-40","f0:3e:90:8c:24:78","IIITV2","9101","11:07:30"
"bolck-9","Wednesday","first","-50","f0:3e:90:4c:24:78","IIITV-Staff","9101","11:07:30"
"bolck-9","Wednesday","first","-58","24:c9:a1:09:9f:08","IIITV-Staff","9101","11:07:30"
"bolck-9","Wednesday","first","-58","24:c9:a1:49:9f:08","IIITV2","9101","11:07:30"
"bolck-9","Wednesday","first","-66","58:b6:33:26:56:c8","IIITV1","9101","11:07:30"
"bolck-9","Wednesday","first","-66","58:b6:33:66:56:c8","IIITV-Staff","9101","11:07:30"
"bolck-9","Wednesday","first","-62","24:c9:a1:49:9a:c8","IIITV2","9101","11:07:30"
"bolck-9","Wednesday","first","-62","24:c9:a1:09:9a:c8","IIITV-Staff","9101","11:07:30"
"bolck-9","Wednesday","first","-60","2c:c5:d3:63:c2:38","IIITV-Staff","9101","11:07:30"
"bolck-9","Wednesday","first","-60","2c:c5:d3:23:c2:38","IIITV1","9101","11:07:30"
"bolck-9","Wednesday","first","-78","58:b6:33:26:51:48","IIITV1","9101","11:07:30"
"bolck-9","Wednesday","first","-79","58:b6:33:66:51:48","IIITV-Staff","9101","11:07:30"
"bolck-9","Wednesday","first","-73","f0:3e:90:0c:29:d8","IIITV1","9101","11:07:30"
"bolck-9","Wednesday","first","-74","f0:3e:90:4c:29:d8","IIITV-Staff","9101","11:07:30"
"bolck-9","Wednesday","first","-74","f0:3e:90:8c:29:d8","IIITV2","9101","11:07:30"
"bolck-9","Wednesday","first","-75","24:c9:a1:09:a7:28","IIITV-Staff","9101","11:07:30"
"block-9","Wednesday","first","-62","f0:3e:90:0c:24:78","IIITV1","9102","11:08:04"
"block-9","Wednesday","first","-58","f0:3e:90:8c:24:78","IIITV2","9102","11:08:04"
"block-9","Wednesday","first","-61","f0:3e:90:4c:24:78","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-62","24:c9:a1:09:9f:08","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-62","24:c9:a1:49:9f:08","IIITV2","9102","11:08:04"
"block-9","Wednesday","first","-52","58:b6:33:26:56:c8","IIITV1","9102","11:08:04"
"block-9","Wednesday","first","-52","58:b6:33:66:56:c8","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-47","24:c9:a1:49:9a:c8","IIITV2","9102","11:08:04"
"block-9","Wednesday","first","-47","24:c9:a1:09:9a:c8","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-60","2c:c5:d3:63:c2:38","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-60","2c:c5:d3:23:c2:38","IIITV1","9102","11:08:04"
"block-9","Wednesday","first","-78","58:b6:33:26:51:48","IIITV1","9102","11:08:04"
"block-9","Wednesday","first","-79","58:b6:33:66:51:48","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-63","f0:3e:90:0c:29:d8","IIITV1","9102","11:08:04"
"block-9","Wednesday","first","-63","f0:3e:90:4c:29:d8","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-63","f0:3e:90:8c:29:d8","IIITV2","9102","11:08:04"
"block-9","Wednesday","first","-75","24:c9:a1:09:a7:28","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-51","24:c9:a1:07:29:58","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-52","24:c9:a1:47:29:58","IIITV2","9102","11:08:04"
"block-9","Wednesday","first","-64","24:c9:a1:09:a1:58","IIITV-Staff","9102","11:08:04"
"block-9","Wednesday","first","-65","24:c9:a1:49:a1:58","IIITV2","9102","11:08:04"
"block-9","Wednesday","first","-63","f0:3e:90:0c:24:78","IIITV1","9103","11:08:14"
"block-9","Wednesday","first","-62","f0:3e:90:8c:24:78","IIITV2","9103","11:08:14"
"block-9","Wednesday","first","-65","f0:3e:90:4c:24:78","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-62","24:c9:a1:09:9f:08","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-62","24:c9:a1:49:9f:08","IIITV2","9103","11:08:14"
"block-9","Wednesday","first","-70","58:b6:33:26:56:c8","IIITV1","9103","11:08:14"
"block-9","Wednesday","first","-70","58:b6:33:66:56:c8","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-34","24:c9:a1:49:9a:c8","IIITV2","9103","11:08:14"
"block-9","Wednesday","first","-35","24:c9:a1:09:9a:c8","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-82","2c:c5:d3:63:c2:38","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-81","2c:c5:d3:23:c2:38","IIITV1","9103","11:08:14"
"block-9","Wednesday","first","-74","58:b6:33:26:51:48","IIITV1","9103","11:08:14"
"block-9","Wednesday","first","-75","58:b6:33:66:51:48","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-50","f0:3e:90:0c:29:d8","IIITV1","9103","11:08:14"
"block-9","Wednesday","first","-50","f0:3e:90:4c:29:d8","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-50","f0:3e:90:8c:29:d8","IIITV2","9103","11:08:14"
"block-9","Wednesday","first","-75","24:c9:a1:09:a7:28","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-64","24:c9:a1:07:29:58","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-64","24:c9:a1:47:29:58","IIITV2","9103","11:08:14"
"block-9","Wednesday","first","-52","24:c9:a1:09:a1:58","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-52","24:c9:a1:49:a1:58","IIITV2","9103","11:08:14"
"block-9","Wednesday","first","-78","24:c9:a1:07:2f:38","IIITV-Staff","9103","11:08:14"
"block-9","Wednesday","first","-78","24:c9:a1:47:2f:38","IIITV2","9103","11:08:14"
"block-9","Wednesday","first","-76","f0:3e:90:0c:24:78","IIITV1","9105","11:08:57"
"block-9","Wednesday","first","-73","f0:3e:90:8c:24:78","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-73","f0:3e:90:4c:24:78","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:09:9f:08","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-60","24:c9:a1:49:9f:08","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-70","58:b6:33:26:56:c8","IIITV1","9105","11:08:57"
"block-9","Wednesday","first","-70","58:b6:33:66:56:c8","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-48","24:c9:a1:49:9a:c8","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-48","24:c9:a1:09:9a:c8","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-82","2c:c5:d3:63:c2:38","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-81","2c:c5:d3:23:c2:38","IIITV1","9105","11:08:57"
"block-9","Wednesday","first","-78","58:b6:33:26:51:48","IIITV1","9105","11:08:57"
"block-9","Wednesday","first","-78","58:b6:33:66:51:48","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-46","f0:3e:90:0c:29:d8","IIITV1","9105","11:08:57"
"block-9","Wednesday","first","-46","f0:3e:90:4c:29:d8","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-46","f0:3e:90:8c:29:d8","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-75","24:c9:a1:09:a7:28","IIITV-Staff","9105","11:08:14"
"block-9","Wednesday","first","-64","24:c9:a1:07:29:58","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-64","24:c9:a1:47:29:58","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-38","24:c9:a1:09:a1:58","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-38","24:c9:a1:49:a1:58","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:07:2f:38","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:47:2f:38","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-52","6c:aa:b3:08:ad:b8","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-52","6c:aa:b3:48:ad:b8","IIITV2","9105","11:08:57"
"block-9","Wednesday","first","-62","58:b6:33:26:53:28","IIITV1","9105","11:08:57"
"block-9","Wednesday","first","-66","58:b6:33:66:53:28","IIITV-Staff","9105","11:08:57"
"block-9","Wednesday","first","-76","f0:3e:90:0c:24:78","IIITV1","9106","11:08:57"
"block-9","Wednesday","first","-73","f0:3e:90:8c:24:78","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-73","f0:3e:90:4c:24:78","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:09:9f:08","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-60","24:c9:a1:49:9f:08","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-70","58:b6:33:26:56:c8","IIITV1","9106","11:08:57"
"block-9","Wednesday","first","-70","58:b6:33:66:56:c8","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-48","24:c9:a1:49:9a:c8","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-48","24:c9:a1:09:9a:c8","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-82","2c:c5:d3:63:c2:38","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-81","2c:c5:d3:23:c2:38","IIITV1","9106","11:08:57"
"block-9","Wednesday","first","-78","58:b6:33:26:51:48","IIITV1","9106","11:08:57"
"block-9","Wednesday","first","-78","58:b6:33:66:51:48","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-46","f0:3e:90:0c:29:d8","IIITV1","9106","11:08:57"
"block-9","Wednesday","first","-46","f0:3e:90:4c:29:d8","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-46","f0:3e:90:8c:29:d8","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-75","24:c9:a1:09:a7:28","IIITV-Staff","9106","11:08:14"
"block-9","Wednesday","first","-64","24:c9:a1:07:29:58","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-64","24:c9:a1:47:29:58","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-38","24:c9:a1:09:a1:58","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-38","24:c9:a1:49:a1:58","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:07:2f:38","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:47:2f:38","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-52","6c:aa:b3:08:ad:b8","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-52","6c:aa:b3:48:ad:b8","IIITV2","9106","11:08:57"
"block-9","Wednesday","first","-62","58:b6:33:26:53:28","IIITV1","9106","11:08:57"
"block-9","Wednesday","first","-66","58:b6:33:66:53:28","IIITV-Staff","9106","11:08:57"
"block-9","Wednesday","first","-76","f0:3e:90:0c:24:78","IIITV1","9107","11:08:57"
"block-9","Wednesday","first","-73","f0:3e:90:8c:24:78","IIITV2","9107","11:08:57"
"block-9","Wednesday","first","-73","f0:3e:90:4c:24:78","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:09:9f:08","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-60","24:c9:a1:49:9f:08","IIITV2","9107","11:08:57"
"block-9","Wednesday","first","-70","58:b6:33:26:56:c8","IIITV1","9107","11:08:57"
"block-9","Wednesday","first","-70","58:b6:33:66:56:c8","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-48","24:c9:a1:49:9a:c8","IIITV2","9107","11:08:57"
"block-9","Wednesday","first","-48","24:c9:a1:09:9a:c8","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-82","2c:c5:d3:63:c2:38","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-81","2c:c5:d3:23:c2:38","IIITV1","9107","11:08:57"
"block-9","Wednesday","first","-82","58:b6:33:26:51:48","IIITV1","9107","11:09:35"
"block-9","Wednesday","first","-83","58:b6:33:66:51:48","IIITV-Staff","9107","11:09:35"
"block-9","Wednesday","first","-77","f0:3e:90:0c:29:d8","IIITV1","9107","11:09:35"
"block-9","Wednesday","first","-83","f0:3e:90:4c:29:d8","IIITV-Staff","9107","11:09:35"
"block-9","Wednesday","first","-82","f0:3e:90:8c:29:d8","IIITV2","9107","11:09:35"
"block-9","Wednesday","first","-64","24:c9:a1:07:29:58","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-64","24:c9:a1:47:29:58","IIITV2","9107","11:08:57"
"block-9","Wednesday","first","-38","24:c9:a1:09:a1:58","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-38","24:c9:a1:49:a1:58","IIITV2","9107","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:07:2f:38","IIITV-Staff","9107","11:08:57"
"block-9","Wednesday","first","-59","24:c9:a1:47:2f:38","IIITV2","9107","11:08:57"
"block-9","Wednesday","first","-64","6c:aa:b3:08:ad:b8","IIITV-Staff","9107","11:09:35"
